關鍵字編號,主題關鍵字,目標族群,難言之隱度,就醫急迫度,優先序分數,建議內容型態,已產出內容編號,狀態
KW001,攝護腺肥大 症狀,50歲以上男性,3,3,9,長文,,未產出
KW002,夜尿 頻尿 原因,50歲以上男性,2,3,7,長文,,未產出
KW003,尿不乾淨 尿柱變細,50歲以上男性,3,3,9,短文,,未產出
KW004,PSA 指數 過高,50歲以上男性,3,4,10,長文,,未產出
KW005,攝護腺癌 早期症狀,50歲以上男性,3,5,11,長文,,未產出
KW006,血尿 是不是癌症,全年齡,2,5,9,長文,,未產出
KW007,腎結石 痛 怎麼辦,30-60歲,1,5,7,長文,,未產出
KW008,尿路結石 預防 喝水,30-60歲,1,2,4,短文,,未產出
KW009,泌尿道感染 反覆發作,女性,3,4,10,長文,,未產出
KW010,反覆膀胱炎 怎麼辦,女性,4,3,11,長文,,未產出
KW011,尿失禁 漏尿 產後,女性,5,3,13,長文,,未產出
KW012,勃起功能障礙 原因,30-70歲男性,5,3,13,長文,,未產出
KW013,早發性射精 治療,20-50歲男性,5,2,12,長文,,未產出
KW014,性功能障礙 要看哪一科,男性,5,2,12,短文,,未產出
KW015,包皮 過長 需要開刀嗎,全年齡男性,4,2,10,長文,,未產出
KW016,包皮龜頭炎 反覆,全年齡男性,4,3,11,短文,,未產出
KW017,睪丸 腫痛 硬塊,15-40歲男性,4,5,13,長文,,未產出
KW018,精索靜脈曲張 不孕,20-40歲男性,4,3,11,長文,,未產出
KW019,男性不孕 精液檢查,20-40歲男性,5,3,13,長文,,未產出
KW020,性病 檢查 匿名,全年齡,5,4,14,長文,,未產出
KW021,菜花 尖銳濕疣 治療,全年齡,5,4,14,長文,,未產出
KW022,小便痛 灼熱感,全年齡,3,4,10,短文,,未產出
KW023,兒童 尿床 幾歲要看醫生,兒童家長,2,2,6,長文,,未產出
KW024,結紮 手術 恢復,30-50歲男性,4,1,9,長文,,未產出
KW025,泌尿科 第一次看診 流程,全年齡,4,1,9,短影音,,未產出
KW026,看泌尿科 會不會很尷尬,全年齡,5,1,11,短影音,,未產出
KW027,男生 幾歲 要做健檢,40歲以上男性,2,2,6,短影音,,未產出
KW028,腎功能 指數 看不懂,全年齡,1,3,5,長文,,未產出
